,id,time,subscribers
0,52,2023-08-27 03:06:17.279769,5
1,947,2023-08-27 03:06:40.233287,947
2,2000,2023-08-27 10:09:45.893559,2149
3,15,2023-08-27 10:10:40.564166,90
4,0,2023-08-27 10:18:41.956864,0
5,7500,2023-08-27 10:21:35.407021,9
